"Story","Title","Result","Date","Stability","Duration (s)"
"Login en Demo Blaze","Login exitoso en demo blaze","SUCCESS","2023-11-16T19:45:16.1156617-05:00[America/Bogota]","0.0","0.12"
"Login en Demo Spotify","Login exitoso en spotify","PENDING","2023-11-16T20:18:07.6397403-05:00[America/Bogota]","0.0","0.09"
"Login en Demo Spotify","Login exitoso en spotify","SUCCESS","2023-11-17T10:02:08.2263924-05:00[America/Bogota]","0.0","24.71"
"Registro de usuario","Registro de usuario exitoso","PENDING","2023-11-15T21:58:12.7981587-05:00[America/Bogota]","0.0","0.11"
"Registro de usuario","Registro de usuario exitoso","ERROR","2023-11-16T20:15:19.3895186-05:00[America/Bogota]","0.0","15.76"
"Add Product","Add sports product to shopping cart","PENDING","2023-11-20T21:38:53.7644717-05:00[America/Bogota]","0.0","0.1"
"Add Product","Add sports product to shopping cart","SUCCESS","2023-11-20T22:18:20.0349725-05:00[America/Bogota]","0.0","18.83"
